baslik,sarki_sozu
Ey Güzel İstanbul Benim Sevgili Yarim,"ey güzel istanbul, benim sevgili yarim
güzelliğin aksetmiş boğazın sularına
benim her şeyim sensin seninle bahtiyarım
ah o kızlar sarılmış sinene kollarına

ah güzel istanbul ey şirin istanbul
ah güzel istanbul sen benim canımsın

bir gönül macerası anlatıyor dalgalar
mavi sular söylüyor kalbimin ninnisini
mavi sular söylüyor kalbimin türküsünü
ruhuma semalardan dökülen müjdeler var
duyuyorum gönlüme sevdasının indiğini

ah güzel istanbul ey şirin istanbul
ah güzel istanbul sen benim canımsın"
Elâ Gözlerine Kurban Oldugum,"Elâ gözlerine kurban oldugum
Yüzüne bakmaya doyamadım ben
İbret için gelmiş derler cihana
Noktadır benlerin savamadım ben
Ayamadım ben, doyamadım ben
Noktadır benlerin sayamadım ben
Aşkın ateşidir sînemi yakan
Lûtfuna erer mi cevrini çeken
Kollarını boynuma dolamış iken
Seni öpmelere kıyamadım ben
Ayamadım ben, doyamadım ben
Seni öpmelere kıyamadım ben"
Elbet Bir Gün Buluşacağız,"Elbet bir gün buluşacağız bu böyle yarım kalmayacak
İkimizinde saçları ak öyle durup bakışacağız
Belki bir deniz kenarında elele maziyi konuşacağız
Benim içimde yanar ateş var sevgilim ne zaman buluşacağız"
Estergon Kalası,"Estergon kalası bre dilber aman subaşı durak
Kemirir gönlümü bre dilber aman bir sinsi firak
Gönül yar peşinde bre dilber aman yar ondan ırak
Akma Tuna akma bre şahin aman ben bir dertliyim
Yar peşinde koşan bre dilber aman yandım kara bahtlıyım"
Ellere Uzaktan Bak,"Ellere uzaktan bak bana yakın gel
Göğsüne menekşeler, güller takın gel
Kalbimin üstüne yat, cana yakın gel
Göğsüne menekşeler, güller takın gel"
Ezelden Aşinanım,"Ezelden aşinanım ben ezelden hep zebanımsın
Beraber ahde bağlandık ne yapsan yari canımsın
Ne olsam zerrenim kalbimde halâ çarpar esrarın
Gel ey canan gel ey can kalkasın ferdaya didarın"
Enginde Yavaş Yavaş,"Enginde yavaş yavaş günün minesi soldu
Derdim bana arkadaş bugün de akşam oldu
Gölgeler indi suya kuşlar vardı uykuya
Gurbeti duya duya bugün de akşam oldu
Su uyur fısıldaşır gider yare ulaşır
Yolcu yolda yaraşır bugün de akşam oldu"
Endülüste Raks,"Zil, şal ve gül, bu bahçede raksın bütün hızı
Şevk akşamında Endülüs, üç defa kırmızı
Aşkın sihirli şarkısı, yüzlerce dildedir
İspanya neş'esiyle bu akşam bu zildedir

Yelpaze gibi çevrilir birden dönüşleri
İşveyle devriliş, saçılış, örtünüşleri
Her rengi istemez gözümüz şimdi aldadır
İspanya dalga dalga bu akşam bu şaldadır

Alnında halka halkadır âşufte kâkülü
Göğsünde yosma Gırnata'nın en güzel gülü
Altın kadeh her elde, güneş her gönüldedir
İspanya varlığıyla bu akşam bu güldedir

Raks ortasında bir durup oynar, yürür gibi
Bir baş çevirmesiyle bakar öldürür gibi
Gül tenli, kor dudaklı, kömür gözlü, sürmeli
Şeytan diyorki sarmalı, yüz kerre öpmeli
Gözler kamaştıran şala, meftûn eden güle
Her kalbi dolduran zile, her sineden ole!ENDÜLÜSTE RAKS"
Ey But-i Nev Eda,"Ey but-i nev eda olmuşum müptela
Aşıkım ben sana iltifat et bana yar yar

Gördüğümden beri olmuşum serseri
Ben denim ey peri aşıkım ben sana yar yar"
Ellerim Böyle Boş,"Ellerim böyle boş, boş mu kalacaktı
Gözümde hep böyle yaş, yaş mı olacaktı
Aramızda sıra dağlar, dağlar mı olacaktı
Üzülme sen meleğim, gün olur kavuşuruz
Ecel ayırsa bile mahşerde buluşuruz
Biz de mi böyle, böyle olacaktık
Bu en güzel çağda yas mı tutacaktık"
