baslik,sarki_sozu
Haticem Saçların,"Haticem saçlarını dalga dalga taramış
Tanrı bizi topraktan onu nurdan yaratmış
Gel Hatice Hatice kaçalım gel bu gece
El ayak çekilince bahçeye gel bu gece vay vay vay
Vay benim olasın
Vay vay vay Haticem vay

Güzele doyum olur sana hiç doyum olmaz
Haticem kalk gidelim bizi hiç gören olmaz
Gel Hatice Hatice kaçalım gel bu gece
El ayak çekilince bahçeye gel bu gece vay vay vay
Vay benim olasın
Vay vay vay Haticem vay"
Hançeri Aşkınla,"Hançer-i aşkınla ey yar sinem üzre vurma hiç
Öyle bir derde giriftarım ki halim sorma hiç
Ağladıkça gözlerimden kan gelir yaş yerine
Öyle bir derde giriftarım ki halim sorma hiç"
Her Mevsim İçimden Gelir Geçersin,"Her mevsim içimden gelir geçersin
Sen vefâsız yolcu kalbim viran edersin
Merhaba demeden elveda dersin
Sen vefâsız yolcu kalbim viran edersin"
Hep Ağlattı Beni Kaderim,"Hep ağlattı beni kaderim / Sen yoksun diye derbederim
Nerde o güzel günlerimiz / Şarkılarla söylenecek sevgimiz
Gel yine birleşsin ellerimiz / Söyle sevgilim şimdi nerdesin
Dönmesen bile beni bekle der misin"
Hastayım Yaşıyorum,"Hastayım yaşıyorum görünmez hayalinle
Belki bir gün bir gün diye beklerim ümidi ile
Çürüyor zavallı ruhum aşkının hasretiyle
Belki bir gün bir gün diye beklerim ümidi ile"
Hani Yosun Rengi Gözlerin,"Hani yosun rengi gözlerin olacaktı senin
Hani düşlerime gelecektin yağmurlu bir nisan akşamında
Hani ansızın dönecektin

Yüzümü avucunun içine alıp
Sıcacık bir elveda diyecektin bana gülerek
İsteyerek başladık bu işe diyecektin"
Her Gece Yollarda Gözledim Seni,"Her gece yollarda gözledim seni
İnan ki gönülden özledim seni
Güllerde aradım yakan bûseni
Unutmam sevgilim unutmam seni

Yıllar var bu hasret canıma yetti
Hicranın kalbinde sabrı tüketti
Vefâsız, gör bana aşk neler etti
Unutmam sevgilim unutmam seni"
"Işıl Işıl Gözlerinde, Siyah Saçın Rengimi Var","Işıl ışıl gözlerinde, siyah saçın rengimi var
Yoksa gizli sevda mı ne, söyle bana cici kız

Söyle bana cici kız / Söyle bana cici kız

Ben aşkımı sende buldum evet desen şad olurum
Naz edişin hiç bitmez mi, söyle bana cici kız

Söyle bana cici kız / Söyle bana cici kız

Sevimlisin hem de tatlı, güler yüzün ömre bedel
Sözlerinde gerçek yok mu, söyle bana cici kız

Söyle bana cici kız / Söyle bana cici kız"
İndim Havuz Başına,"İndim havuz başına / Bir kız çıktı karşıma
Sevda nedir bilmeydim / O da geldi başıma
Gelemem ben, gidemem ben
Her güzele gönül veremem ben
Aç kolların sar boynuma
Üşüdüm üşüdüm gelemem ben
Havuz başında durma / Çapkın karşımda durma
Kirpiklerin ok olmuş / Yeter kalbime vurma
Gelemem ben, gidemem ben
Her güzele gönül veremem ben
Aç kolların sar boynuma
Üşüdüm üşüdüm gelemem ben"
İmkansız,"Yıldızlara baktırdım fallarda çıkmıyorsun
Seni görmem imkansız imkansız imkansız rüyalarım olmasa
Pencereden bakmıyor yollara çıkmıyorsun
Seni görmem imkansız imkansız imkansız rüyalarım olmasa 

Yalvarırım mektup yaz beş dakkan ayırda
Su serp yanan bağrıma sağlığını duyurda
Yaban gülü gibisin dağda kırda bayırda
Seni dermem imkansız imkansız imkansız rüyalarım olmasa 

Seviyor özlüyorum seni can pahasına
Bir fırsat ver nolursun nolursun nolursun beni bir daha sına
Bu aşkı söyleyemem senden bir başkasına
Seni sormam imkansız imkansız imkansız rüyalarım olmasa 

Yalvarırım mektup yaz beş dakkanı ayırda
Su serp yanan bağrıma sağlığını duyurda
Yaban gülü gibisin dağda kırda bayırda
Seni dermem imkansız imkansız imkansız rüyalarım olmasa"
İnleyen Nağmeler,"İnleyen nağmeler ruhumu sardı
Bir rüya ki orda hep şarkılar vardı

Uçan kuşlar martılar
Yeşil tatlı bir bahar
Gülen şen sevdalılar vardı

Arzular orada, şevk oradaydı
Bir deniz ki aşk dolu dalgalar vardı

Uçan kuşlar martılar
Yeşil tatlı bir bahar
Gülen şen sevdalılar vardı"
İçimde Nice Uzun Yılların Özlemi Var,"İçimde nice uzun yılların özlemi var
Bu gece efkarlıyım ağla gitar, çal gitar
Bitmesin bu sarhoşluk, sürsün sabaha kadar
Bu gece efkarlıyım ağla gitar, çal gitar"
İçtim Suyunu,"İçtim suyunu şu coşkun derenin
Gülünü kokladım yediverenin
Güneşe karşı hamur serenin
Boyunun bosunun kurbanı oldum
Hey yallah hey yallah yallah yallah ey"
İçin İçin Yanıyor,"İçin için yanıyor yanıyor bu gönlüm
Onun için anıyor anıyor bu gönlüm 

O bir vefasızdı o bir hayırsızdı
Neden gönül anıyor
Açık yeşildi gözü güneş gibiydi yüzü
O çok güzeldi amma yalancının biriydi
Ah unut onu gönlüm unut onu sen de
O bir vefasızdı o bir hayırsızdı
Neden gönül anıyor 

Neden niçin anıyor arıyor bu gönlüm
Onun için soruyor soruyor bu gönlüm
O bir vefasızdı o bir hayırsızdı
Neden gönül anıyor
Açık yeşildi gözü güneş gibiydi yüzü
O çok güzeldi amma yalancının biriydi
Ah unut onu gönlüm unut onu sen de"
"İnan, İnan Ki, Kimse Bana Senin","İnan, inan ki, kimse bana senin gibi bakmadı
Vallahi, billahi kimse beni senin gibi yakmadı
Leyla bile Mecnun'da böyle iz bırakmadı
Vallahi, billahi kimse beni senin gibi yakmadı"
İntizar,"Sakın bir söz söyleme yüzüme bakma sakın
Sesini duyan olur sana göz koyan olur
Düşmanımdır seni kim bulursa cana yakın
Annen bile okşasa benim bağrım taş olur 

Dilerim tanrı'dan ki sana açık kucaklar
Bir daha kapanmadan kara toprakla dolsun
Kan tükürsün adını candan anan dudaklar
Sana benim gözümle bakan gözler kör olsun"
İşte Benim Zeki Müren,"Sevgi dolu bir dünyam var dört yanımda tüm insanlar
Dünya malı neye yarar dostluklarla yaşıyorum
Şiirlerde romanlarda
Gelmiş geçmiş zamanlarda
Tamburlarda kemanlarda şarkılarla yaşıyorum
Sevgilerden nakışlarla mutlu mutsuz bakışlarla
Kalpten kalbe akışlarla alkışlarla yaşıyorum

Ben de sevdim bir zamanlar içimde bin hatıra var
Herkes hayatını yaşar anılarla yaşıyorum
Ne köşklerde ne sarayda
Ne dünyada ne de ayda
Benim yerim çok uzakta dualarla yaşıyorum
Şarkılara duygu seren çilelere göğüs geren
Dertli gönüllere giren işte benim zeki müren

Kimsesizlerin kimsesiziyim kimsesizim
Yalnızların yalnızıyım yalnızım
Dertlilerin dertlisiyim dertliyim
Aşıkların aşkıyım aşıkım
İsmim mesut göbek adım bahtiyar
Yıllarca hep böyle bildiniz siz
Mesut bahtiyardan şarkılar dinlediniz"
Kalplerden Dudaklara Yükselen,"Kalplerden dudaklara yükselen sesi dinle
Bu içten duyuşlarla başbaşayız seninle
Çifte kumrular gibi
Gölgeli derelerde çağlayan sular gibi
Bir ilahi nağmedir gönülden coşar gelir
Ruha kadar yükselir

Sevgiden güzellikten örülmüş hale olur
Dillerde nale olur, gözlerde jale olur
Birleşen dudaklarda gül olur, lale olur
İşte bu hoş terane aşkın sesidir gülüm
O her yerde bahane, aşksız hayat bir ölüm"
Koklasam Saçlarını Bu Gece,"Koklasam saçlarını bu gece ta fecre kadar
Acı duysam gözünün rengine dalsam da senin
Kanatır ruhumu mazide kalan hatıralar
Doyamam ömrüme ben kalbimi çalsam da senin"
Kaderimde Hep Güzeli Aradım,"Kaderimde hep güzeli aradım
İçimdeki sazlar başka söz başka
Hayalimde canlanırken muradım
Duvardaki resim başka sen başka

Gökyüzünde otağ kurdum oturdum
Yeryüzünde hayat başka ruh başka
Bu sevdadan artık bende yoruldum
Yaz yağmuru kış yağmuru bambaşka"
Kederden Mi Neden Bilmem,"Kederden mi neden bilmem sararmış rengi ruhsarın
Senin çün bak nasıl ağlar yanar bu aşıkı zarın
Ağarsa saçların kafi bana çeşm-i füsûnkârın
Senin çün bak nasıl ağlar yanar bu aşıkı zarın"
Kapıldım Gidiyorum,"Kapıldım gidiyorum bahtımın rüzgarına
Ey ufuklar diyorum yolculuk var yarına
Ayrılık görünmüşken yar tutmuyor elimden
Misafirim bugün ben gurbet akşamlarına"
Kanımda Kıvılcım,"Kanımda kıvılcım canımda ateş
Dünyama sen ışık verir gibisin
O asil varlığın meleklere eş
Cennetten süzülüp gelir gibisin

Te re lel le le lel te re lel lel lel li yar
Cennetten süzülüp gelir gibisin

Tükenmez kaynaktır aşkın canımda
Huzurum sonsuzdur varsan yanımda
Neşemde sevinçte heyecanımda
İçimde çağlayan nehir gibisin

Te re lel le le lel te re lel lel lel li yar
Sanadır içimdeki en sıcak hisler

Sevgimiz gönlümde gençliği besler
Aşkınla açılır güller nergisler
Ömrümde çözülmez sihir gibisin

Te re lel le le lel te re lel lel lel li yar
Şefkatin bir başka sevgin bir başka

Sadakat sembolü olmuşsun aşka
Destanlar yazdırır cansın aşıka
Sözlere sığmayan şiir gibisin"
Kimseye Etmem Şikayet,"Kimseye etmem şikayet ağlarım ben halime
Titrerim mücrim gibi baktıkça istikbalime
Perde-i zülmet çekilmiş, korkarım ikbalime
Titrerim mücrim gibi baktıkça istikbalime"
Kız Sen Geldin Çerkeş'ten,"Kız sen geldin Çerkeş'ten / Pek güzelsin herkesten
Farkın yoktur billahi / Lepiska saçlı çerkezden

Annen baban işte bunu bilmezler
Kız seni beylere vermezler

Kız acırım haline / Aldanma el aline
Satsalardı alırdım / Ben seni dünya maline"
Lezzet Almış,"Lezzet almış geçmiyor sevdayı dildardan gönül
Geçti aylar geçti yıllar geçmedi yardan gönül
Var mıdır bir faide bu hale isrardan gönül
Geçti aylar geçti yıllar geçmedi yardan gönül"
Leyla Bir Özge Candır,"Leyla bir özge candır / Kara gözlü ceylandır
Doyulmaz hüsn ü andır / Kanılmaz bir içim su
Leyla,Leyla ah Leyla

Dillerde sözlenen o / Yollarda gözlenen o
Yürekten özlenen o / Her gönülde o arzu
Leyla,Leyla ah Leyla

Aşıklar levend olsa / Sevdalar kemend olsa
Birbirine bend olsa / Ele geçmez o ahu
Leyla,Leyla ah Leyla"
Leylakları Sümbülleri,"Leylakları sümbülleri / Soldurdun gonca gülleri
Aşkla yanan gönülleri / Öksüz koydun sen giderken

Ne bir arzu, ne düş kaldı / Ne safalı gülüş kaldı
Sımsıcak bir öpüş kaldı / Dudağımda sen giderken

Son buluşma serap gibi / Alııp gitti seni benden
Dünya o an durdu sanki / Güneş söndü sen giderken

Ne bir arzu, ne düş kaldı / Ne safalı gülüş kaldı
Sımsıcak bir öpüş kaldı / Dudağımda sen giderken"
Lale Devri,"Sözler:
Çok geç kalmışız canım, vakit bu vakit değil.
Eski radyolar gibi, çatıya saklanmış aşk.
Öyle sanmışız canım, artık ölümsüz değil.
Leyla ile Mecnun gibi, çoktan masal olmuş aşk.

Lale devri çocuklarıyız biz, zamanımız geçmiş.
Aşk şarabından kim bilir en son, hangi şanslı içmiş.

Ben derim utanma iftihar et, sevmeyenler utansın.
Aşksızlığa mahkum edildiyse, bu dünya yansın."
Makber,"Her yer karanlık pür-nûr o mevkî
Magrip mi yoksa makber mi yâ Râb
Yâ habgâh-ı dilber mi yâ Râb
Rüyâ değil bu ayniyle vakî

Kabri çiçekten bir türbe olmuş
Dönmüş o türbe bir haclegâhe
Bir haclegâhe dönmüşse türben
Aç koynunu aç maşukânım ben"
Mevsimler Yas Tutup,"Mevsimler yas tutup çöller ağlasın
Ahımla ihleyen teller ağlasın
Madem ki sen yoksun şimdi yanımda
Leylaklar dökülüp güller ağlasın
Sevgilim bu yerden gittin gideli
Ilgıt ılgıt eser sevdanın yeli
Şu öksüz ruhumun sensin emeli
Leylaklar dökülüp güller ağlasın
Bu aşkın elemi sarmış gönlümü
Rüzgarlar söylesin bu son sözümü
Ne çare kaybettim nazlı gülümü
Leylaklar dökülüp güller ağlasın"
Menekşelendi Sular,"Menekşelendi sular, sular menekşelendi
Esmer yüzlü akşamı dinledim yine sensiz
Leylak pırıltılarla bahçeler gölgelendi
İnledi yine bülbül, olmazmış gül dikensiz

Dikensiz gül olmazmış
Çilesiz bülbül Ayşe
Her kuş bülbül olmazmış
Her çiçek de gül Ayşe

Ne bülbül gülü sevdi seni sevdiğim kadar
Ne böyle seven gönül, ne de senden güzel var
İçli bir özleyişle bırak beni yanayım
Gözlerinde gördüğüm rüyama inanayım

Dikensiz gül olmazmış
Çilesiz gönül Ayşe
Her kuş bülbül olmazmış
Her çiçek de gül Ayşe"
Mehtaplı Gecelerde,"Mehtaplı gecelerde hep seni andım
Belki gelirsin diye boş yere yandım
Yeter Allah'ım yeter çektiğim çile
Belki gelirsin diye boş yere yandım"
Mehtaba Bürünmüş Gece,"Mehtaba bürünmüş gece / Bir gelindir ay duvaklı
Yıldızlar birer bilmece / Kalbim gibi gizli, saklı
Mehtab dalgın, gece ıssız / O da benim gibi yalnız
Susma öyle güzel gece / Söyle, söyle, söyle bana
Nedir bu aşk, bu sevda"
Menekşe Gözler Hülyalı,"Menekşe gözler hülyalı / Bakışları çok manalı
Gönül yakıcı o gözler / Meğer ezelden sevdalı

Gel etme eyleme / Aksi söz söyleme
Beni reddeyleme / Canım gülüm hey

Gözümde tüter durursun / Kalbime hançer vurursun
Sevdayı az çok bilirsin / Aşkıma çare bulursun

Gel etme eyleme / Aksi söz söyleme
Beni reddeyleme / Canım gülüm hey

Yatıp dizinde ağlasam / Gece ve gündüz çağlasam
Billahi sen de acırsın / Aşkıma matem bağlasam

Gel etme eyleme / Aksi söz söyleme
Beni reddeyleme / Canım gülüm hey"
Mihrabım Diyerek,"Mihrabım diyerek sana yüz vurdum
Gönlümün dalında bir yuva kurdum
Yıllardan beridir yalvarıp durdum
Sevgilim demeyi öğretemedim

Gönlünde sevgime yer vermedin de
Yaban güllerini hep derledin de
Ellerin ismini ezberledin de
Bir benim adımı öğretemedim

Sonunda hicranı öğrettin bana
Ben sana sevmeyi öğretemedim"
Meyhanede Kaldık,"Meyhanede kaldık bu gece ah mestiz efendim
Bir şeyle mukayyet değiliz serbestiz efendim
Tanetme bizi sofu gibi gel hosgör efendim
Birşeyle mukayyet değiliz serbestiz efendim"
Maksadım Birazcık Yine Naz Yapmaktı,"Maksadım birazcık yine naz yapmaktı
Gidiyorum deyip, seni yalvartmaktı
Bize oldu olan, darıldık hiç yoktan
Seni bilmem amma, ben pişmanım çoktan

Gitme dön diyesin, istiyordum yine
İnadın tuttu da çağırmadın bile
Bize oldu olan, darıldık hiç yoktan
Seni bilmem amma, ben pişmanım çoktan

Çağırsan dönerim sevinerek sana
İstemem dargınlık inan güzelim bana
Bize oldu olan, darıldık hiç yoktan
Seni bilmem amma, ben pişmanım çoktan"
Mümkün Mü Unutmak Güzelim,"Mümkün mü unutmak güzelim neydi o akşam
Rüya gibi, hülya gibi birşeydi o akşam
İçtik kanarak bir ezeli meydi o akşam
Rüya gibi, hülya gibi birşeydi o akşam"
Muhabbet Bağına,"Muhabbet bağına girdim bu gece
Açılmış gülleri derdim bu gece
Vuslatın çağına erdim bu gece
Muhabbet doyulmaz bir pınar imiş

Ararım , ararım,ararım seni her yerde
Sorarım ıssız gecelerde sevgilim nerde

Açıldı bahtımın gonca gülleri
Gönül bağında öter bülbülleri
Aşkıma sarayım tüm gönülleri
Muhabbet doyulmaz bir pınar imiş

Ararım,ararım,ararım seni her yerde
Sorarım ıssız gecelerde sevgilim nerde"
Muntazır Teşrifine,"Muntazır teşrifine hazır kayık
İnce yaşmakla bu cuma seyre çık
Pembe mantinden feracen pek de şık
İnce yaşmakla bu cuma seyre çık 

Kırma lütfet hatırı mestaneyi
Süslenip tak zülfün üzre saneyi
Eyle ihya semt-i kağıthaneyi
İnce yaşmakla bu cuma seyre çık"
Ne Dert Kalır Ne Hüzün,"Ne dert kalır ne hüzün / Bir sudur akar zaman
Seni ilk gördüğüm gün / Dedim ah benim olsan

Ay değil yıllar geçti / Kavuşmak şimdi bir an
Kış geçti, bahar geçti / Dedim ah benim olsan

Yeter üzme çabuk gel / Uzamasın şu hicran
Bugünlerden çok evvel / Dedim ah benim olsan"
Nasıl Geçti Habersiz,"Nasıl geçti habersiz o güzelim yıllarım
Bazen gözyaşı oldu bazen içli bir şarkı
Her anını eksiksiz dün gibi hatırlarım
Dudaklarımda tuzu içimde durur aşkın

Hani o saçlarına taç yaptığım çiçekler
Hani o güzel gözlü ceylanların pınarı
Hani kuşlar ağaçlar binbir renkli çiçekler
Nasıl yakalamıştık saçlarından baharı

Ben hâlâ o günleri anarsam yaşıyorum
Sanki mutluluğumuz geri gelecek gibi
Hâlâ güzelliğini kalbimde taşıyorum
Dalından koparılmış beyaz bir çiçek gibi

Hani o saçlarına taç yaptığım çiçekler
Hani o güzel gözlü ceylanların pınarı
Hani kuşlar ağaçlar binbir renkli çiçekler
Nasıl yakalamıştık saçlarından baharı"
"Neyleyim Köşkü, Neyleyim Sarayı","Ah edip inlerim gurbet elinde
Uzaktan göründü benim bağlarım
Yine garip kaldım gurbet elinde
Sevgilimi her gün anar ağlarım

Neyleyim köşkü, neyleyim sarayı
İçinde salınan yar olmayınca

Kimsesiz öksüz kaldım bu yerde
Talihim düşürdü beni bu derde
Gözümü kapladı bir kara perde
Evimi yurdumu anar ağlarım

İçinde salınan yar olmayınca
Kimsesiz öksüz kaldım bu yerde"
Ne Zaman Geleceksin,"Ne zaman geleceksin / Bu kaçıncı bahar

Nerde o yeminler / Hani nerde verdiğin sözler
Ne zaman geleceksin / Bu kaçıncı bahar
Ne zaman geleceksin

Seneler geçiyor / Bir ömür bitiyor

Nerde o yeminler / Hani nerde verdiğin sözler
Ne zaman geleceksin / Bu kaçıncı bahar
Ne zaman geleceksin"
Nerelerde Kaldın Ey Servi Nazım,"Nerelerde kaldın ey servi nazım
Bana bir haber ver bu dur niyazım
Hasretinden acep ölmek mi lazım
Bana bir haber ver bu dur niyazım"
Ne Bildim Kıymetin,"Ne bildim kıymetin, ne bildin kıymetim
Reva mı şiddetin, reva mı hiddetin
Zulmeden sen misin, bilmem ki benmiyim
Kader mi, talih mi, ağyar mı, acep kim

Kıskançlık alevi kalplere gireli
Sen deli, ben deli, aşk deli, ruh deli
Severken sen beni, severken ben seni
Bir gurur mahvetti hem seni, hem beni

Ne sensiz bir mekan, ne sensiz heyecan
Vermiyor teselli, ne ümit, ne de can
Sararken gönülü iştiyak an be an
Değer mi bu hasret, bu firkat, bu hicran"
Nereden Sevdim O Zalim,"Nereden sevdim o zalim kadını
Bana zehretti hayatımın tadını
Söylemem sormayın asla adını
Bana zehretti hayatımın tadını"
Neyleyim Neyleyim,"Neyleyim neyleyim ben böyle yari
Ne ağlayabildim ne gülebildim
Gurbet ellerinde ah çeke çeke
Ne huyuma göre yar bulabildim
Yanarım yanarım boşa yanarım
Verseler sevdiğimi güler ağlarım"
Neler Ettin Sen Neler,"Neler ettin sen neler / Senelerce sen bana
Dermanın dertten beter / Derdimi açmam sana

Yapma dedim kaç kere / Yaktın beni boş yere
Avuç açar göklere / Elimi açmam sana

Her gün başka dert olsa / Başıma karlar yağsa
Mahşere dek boş kalsa / Kalbimi açmam sana

Gençliğim geçse boşa / Yazılan gelir başa
Derdimi döker taşa / İçimi açmam sana"
Ne Kadar Sevdiğimin Farkına,"Ne kadar sevdiğimin farkına varmadın mı
Ben de sevdim demeye biraz geç kalmadın mı

Ak düştü saçlarına / Dert girdi yıllarına
Gelmek için yanıma / Biraz geç kalmadın mı

Gözlerime bakmaya, dizlerimde yatmaya
Pişmanlıklar duymaya, biraz geç kalmadın mı

Ak düştü saçlarına / Dert girdi yıllarına
Gelmek için yanıma / Biraz geç kalmadın mı"
Niçin Baktın Bana Öyle,"Niçin baktın bana öyle
Derdin nedir, durma söyle

Durgunsun sular gibi / İçli duygular gibi
Gözlerinde sevda var / Derin uykular gibi

Niçin baktın bana öyle
Derdin nedir, durma söyle

Gül dalında gonca güller / Bülbül sevdasında çiler
Söyle dermanın olayım / Dertli olan devâ diler

Niçin baktın bana öyle
Derdin nedir, durma söyle

Mahzunsun, hayransın / O güzel gözlerle sürmeli ceylansın
Ey hilâl kaşlı, ağlıyor musun, kirpiğin yaşlı
Ben senin nen olayım / Kulun kölen olayım

Niçin baktın bana öyle
Derdin nedir, durma söyle"
Nazlı Bir Çiçek Gibi,"Nazlı bir çiçek gibi / Uçan kelebek gibi
Endamı ipek gibi / Sarıversen ne olur

Baharımsın dalımsın / Peteğimsin balımsın
Sen gönlümün malısın / Bana gelirsen ne olur

İsmimin hecesini / Kalbimin gecesini
Sevda bilmecesini / Çözüversen ne olur"
Odasına Girdim,"Odasına girdim fincan elinde
Saatin kordonu ince belinde 

Kaşları keman keman gözleri yaman 

Odasına girdim ne haller olmuş
Kaşı ile gözü ne yaman uymuş 

Kaşları keman keman gözleri yaman 

İstanbul'la Üsküdar'ın arası
Yaktı beni gözlerin karası 

Kaşları keman keman gözleri yaman"
O Ahu Bakışlara,"O ahu bakışlara bir anda kandın gönül
Neden inandın ona nasıl aldandın gönül
Sen ki her söze kanmaz her vade inanmazdın
Neden inandın ona nasıl aldandın gönül"
Ömrümüzün Son Demi,"Ömrümüzün son demi, sonbaharıdır artık
Maziye bir bakıver, neler neler bıraktık
Küserek ayrılırsak olur inan ki yazık
Maziye bir bakıver, neler neler bıraktık"
Önce Sen Unut,"İlk aşkı unutmak çok kolay deme
Unutmak kolaysa önce sen unut
Ne olursun bunu benden isteme
Unutmak kolaysa önce sen unut

Verdiğimiz sözü sen tut diyorsun
Gönlünü bensiz de avut diyorsun
Bu acı tez geçer unut diyorsun
Unutmak kolaysa önce sen unut 

Bana zor geliyor seni bilemem
Dünyam zindan oldu sensiz gülemem
Ölsem de unuttum bitti diyemem
Unutmak kolaysa önce sen unut 

İlk aşkın ateşi bizi yakarken
Nasıl da ağladık veda ederken
Sen beni ben seni hâlâ severken
Unutmak kolaysa önce sen unut"
Öyle Yeşil Gözleri Vardı,"Bir çift sevdalı bakışın
Aşk ateşi ruhumu sardı
Öyle güzel öyle derin
Öyle yeşil gözleri vardı 

Yıllar yılı gizlediğim
Duygularım birden uyandı
Öyle güzel öyle derin
Öyle yeşil gözleri vardı 

Rüyalarımı süsleyecek
Çok sevecektir diye kandım
Bir bakışa bir gülüşe
Aldanarak aşkına yandım 

Mutsuzluğuma son verecek
Gitmeyecekmiş gibi sandım
Bir bakışa bir gülüşe
Aldanarak aşkına yandım"
Ömrüm Senin Olsun,"Ömrüm senin olsun / Gülüşün gülden güzel
Bakışın ömre bedel / Esirindir bu gönül

Bekletme gel artık gel / Ömrüm senin olsun
Gel biricik meleğim / Senin olmak dileğim

Aşkını söyle bana / Sevdiğini bileyim
Ömrüm senin olsun / Senin olsun bu gönül"
Ömrüm Seni Sevmekle Nihayet Bulacaktır,"Ömrüm seni sevmekle nihayet bulacaktır,
    Yalnız senin aşkın ile ruhum solacaktır.
    Son darbe-i kalbim yine ismin olacaktır

Bu beste, Yesari Asım Arsoy'un güftesi başkasına ait olan az sayıda eserinden biridir . Bu şarkı, Yesari Asım beyin ilk çıkış yaptığı ve zamanında çok ünlenip, dinleme rekorları kıran ilk eserdir. Aynı zamanda, Yesari Asım Arsoy'u hayat mücadelesinden  çekip , sadece müzikle uğraşmasını sağlayacak maddi ortamı da yaratmıştır.
    Eserin bir diğer özelliği ise, şiirin Fıtnat hanım tarafında  Yesari Asım Arsoy için yazildiği ve Fıtnat hanımla üstad arasında bir gönül beraberliği olduğu söylentilerinin şarkıyla birlikte gündeme gelmesidir.
    Bu konu kendisine, yıllar sonra sorulduğunda, cevabı; ''Evet o hanımefendi ile  bir gönül ihtilalimiz olmuştur.''  ifadesidir.."
Pencereden Kuş Uçtu,"Pencereden kuş uçtu
Yandı yürek tutuştu
Bizim de böyle olmamıza
Düşmanlar sebep oldu

Ben bir garip kuş idim
Dalına konmuş idim
Niye de bana kış dedin
Ben senin olmuş idim"
Pencerenin Perdesini,"Pencerenin perdesini aç bana göster yüzünü
Görmek için ben yüzünü dağları aştım da geldim
Ay ışığı ışıldarken bülbül güle fısıldarken
Uzakta kaval çalarken derdine düştüm de geldim
Ben yari görmeye geldim"
Pek Revadır,"Pek revadır sevdiğim ettiklerin
Aşığı günlerce beklettiklerin
Gelmeyip ağyar ile gittiklerin
Gez görüş eğlen sıkılma zevke bak
Bir gelir insan cihana durma çak"
Pek Muzdaribim,"Pek muzdaribim ey güliter zahm-ı dilimden
Ağlar gezerim ayrılalı sen güzelimden
Çok gördü felek şimdi seni aldı elimden
Şebnem yerine kan dökülür didelerimden"
Pişman Olur Da Bir Gün,"Pişman olur da bir gün dönersen bana geri
Gönül kapım açıktır çalmadan gir içeri
Sana sevgiler sonsuz, henüz geçmedi zaman
Gönül kapım açıktır çalmadan gir içeri"
Pencere Açıldı,"Pencere açıldı Bilal oğlan piştov patladı
Varın bakın kanlıda Bilal yine kimi hakladı
Allı yemeni Bilal oğlan pullu yemeni
Bir bahçeden bir bahçeye salla yemeni

Ben sana varmam Bilal oğlan ben sana varmam
Yedi yıl karşımda dursan yine sana yalvarmam
Allı yemeni Bilal oğlan pullu yemeni
Bir bahçeden bir bahçeye salla yemeni"
Rüyalarda Buluşuruz,"Yıllar var ki biz seninle / Bakışarak konuşuruz
Sevdalanmış kalbimizle
Rüyalarda buluşuruz / Bu şarkıyla kavuşuruz

Aşk gülümüz solsa bile / Gözümüz yaş dolsa bile
Zaman geçmiş olsa bile
Rüyalarda buluşuruz / Bu şarkıyla kavuşuruz"
Rüzgar Söylüyor Şimdi,"Rüzgar söylüyor şimdi o yerlerde
Bizim eski şarkımızı
Vaz geç söyleme artık hatırlatma
Mazideki aşkımızı 

Bir kış günüydü başladı
Bu hazin macerası ömrümüzün
Vaz geç söyleme artık hatırlatma
Mazideki aşkımızı"
Ruhuma Gecenin Matemi Doldu,"Ruhuma gecenin matemi doldu
Ben şimdi derdimle bir kırık ney'im
Ümidim kırldı bir hayal oldu
Kimsesiz yollarda kalan gölgeyim

Bilmem ki derdimi kime yanayım
Kime yalvarayım / Ah / Kimi anayım
Bir zaman benimde baharım vardı
Gülerdim içimde güller açardı
Şimdi herşey bitti gönlüm karardı
Kimsesiz yollarda kalan gölgeyim"
Rüzgar Kırdı Dalımı,"Rüzgar kırdı dalımı ellerin günahı ne
Ben yitirdim yolumu yolların günahı ne
Ne kış dedim ne bahar içtim sabaha kadar
Erken ağardı saçlar yılların günahı ne 

Hep yar peşinde koştum
Ben küstüm ben barıştım
Kendim dillere düştüm ellerin günahı ne"
Rüya Gibi Uçan Yıllar,"Rüya gibi uçan yıllar biraz durun durun biraz
Kaybolan günlerim için hesap sorun sorun biraz
Güzel bir kumral uğruna küstüm esmer beyazlara
Bu akılsız garip başa şimdi vurun vurun biraz"
Rüzgar Uyumuş,"Rüzgar uyumuş ay dalıyor her taraf ıssız
Ölgün bakıyor varsa uzak bir iki yıldız
Bak çıt bile yok korkma benim bahçede yalnız
Ey gözlerinin rengi kadar rengi kadar kalbi güzel kız 

Meftunun olan gözlerim endamını görsün
Kumral saçının üstüne busem de taç örsün
Aşkın ezeli saltanatından bu yüksek
Ey gözlerinin rengi kadar rengi kadar kalbi güzel kız"
Sarı Kurdelam Sarı,"Sarı kurdelam sarı / Dağlara saldım yâri
Dağlar kurbanın olam / aman ah ah ah
Tez gönder nazlı yâri
Yandım ey ey vallah yandım esmerim
Ben esmeri badem ile, ben esmeri fıstık ile
Ben esmeri fındık ile beslerim
İpek kuşak beldedir / Saçakları yerdedir
Dünyayı güzel asla / anam ah ah ah
Vallahi gönlüm sendedir
Yandım ey ey vallah yandım esmerim
Ben esmeri badem ile, ben esmeri fıstık ile
Ben esmeri fındık ile beslerim"
